iter	Passed	Remaining
0	4	2128
1	8	2133
2	12	2039
3	16	2075
4	20	2058
5	25	2066
6	29	2049
7	33	2037
8	37	2027
9	41	2010
10	45	2004
11	49	1993
12	53	2000
13	57	1990
14	61	2001
15	65	1984
16	69	1971
17	73	1959
18	77	1950
19	80	1942
20	84	1933
21	89	1938
22	92	1928
23	97	1925
24	100	1917
25	104	1913
26	109	1922
27	113	1919
28	117	1912
29	121	1909
30	126	1907
31	130	1907
32	134	1901
33	138	1893
34	142	1890
35	146	1888
36	150	1882
37	154	1882
38	158	1879
39	162	1873
40	166	1868
41	170	1864
42	175	1866
43	179	1861
44	183	1858
45	187	1853
46	191	1848
47	195	1843
48	199	1838
49	203	1835
50	208	1832
51	212	1826
52	215	1820
53	219	1815
54	223	1810
55	227	1805
56	231	1798
57	235	1796
58	239	1793
59	243	1788
60	247	1783
61	251	1779
62	255	1773
63	259	1770
64	264	1769
65	268	1764
66	272	1761
67	276	1756
68	280	1752
69	284	1747
70	288	1741
71	292	1738
72	296	1734
73	300	1728
74	304	1722
75	307	1716
76	311	1712
77	315	1708
78	319	1702
79	323	1700
80	327	1696
81	332	1692
82	336	1688
83	340	1685
84	344	1681
85	348	1676
86	352	1671
87	356	1668
88	360	1665
89	364	1662
90	369	1660
91	373	1655
92	377	1651
93	381	1648
94	385	1644
95	389	1639
96	393	1635
97	398	1632
98	401	1628
99	405	1622
100	409	1617
101	413	1612
102	417	1608
103	421	1605
104	425	1600
105	429	1596
106	433	1591
107	437	1587
108	441	1582
109	445	1578
110	449	1576
111	453	1572
112	457	1567
113	461	1563
114	465	1558
115	469	1554
116	473	1551
117	477	1547
118	482	1543
119	486	1540
120	491	1538
121	495	1535
122	499	1531
123	503	1527
124	507	1523
125	511	1518
126	515	1514
127	519	1511
128	524	1508
129	528	1504
130	532	1499
131	536	1495
132	540	1491
133	544	1487
134	548	1484
135	552	1479
136	556	1474
137	560	1470
138	564	1467
139	568	1462
140	573	1460
141	577	1455
142	581	1451
143	585	1447
144	589	1443
145	593	1439
146	598	1436
147	602	1432
148	606	1429
149	610	1425
150	614	1420
151	618	1416
152	622	1412
153	626	1408
154	630	1403
155	634	1399
156	638	1394
157	642	1390
158	646	1386
159	650	1382
160	654	1378
161	659	1376
162	664	1373
163	667	1368
164	672	1365
165	676	1361
166	680	1357
167	684	1353
168	688	1349
169	693	1345
170	697	1341
171	701	1337
172	705	1332
173	708	1328
174	713	1324
175	717	1320
176	721	1316
177	725	1311
178	729	1307
179	733	1303
180	738	1300
181	742	1296
182	745	1292
183	749	1287
184	753	1283
185	757	1278
186	761	1275
187	765	1270
188	769	1266
189	773	1262
190	777	1258
191	782	1254
192	786	1250
193	790	1247
194	794	1242
195	798	1238
196	802	1234
197	806	1230
198	810	1225
199	814	1221
200	818	1218
201	822	1213
202	826	1209
203	830	1205
204	834	1201
205	838	1197
206	842	1192
207	846	1188
208	851	1185
209	855	1181
210	859	1177
211	863	1173
212	867	1169
213	871	1165
214	876	1161
215	880	1157
216	884	1153
217	888	1148
218	892	1144
219	896	1140
220	899	1136
221	904	1132
222	909	1129
223	913	1125
224	917	1121
225	921	1117
226	925	1113
227	929	1108
228	933	1104
229	937	1100
230	941	1096
231	945	1092
232	949	1088
233	953	1083
234	957	1079
235	961	1075
236	965	1071
237	969	1067
238	974	1063
239	978	1059
240	981	1055
241	985	1051
242	989	1046
243	993	1042
244	998	1038
245	1002	1034
246	1005	1030
247	1009	1026
248	1013	1021
249	1018	1018
250	1022	1013
251	1026	1009
252	1030	1006
253	1034	1002
254	1039	998
255	1043	994
256	1048	990
257	1052	987
258	1056	983
259	1061	979
260	1065	975
261	1069	971
262	1073	967
263	1077	963
264	1082	959
265	1086	955
266	1089	951
267	1093	947
268	1097	942
269	1102	938
270	1106	934
271	1110	930
272	1114	926
273	1117	922
274	1121	917
275	1125	913
276	1129	909
277	1133	905
278	1138	901
279	1142	897
280	1146	893
281	1150	889
282	1153	884
283	1157	880
284	1162	876
285	1166	872
286	1170	868
287	1174	864
288	1178	860
289	1182	856
290	1186	852
291	1190	847
292	1193	843
293	1197	839
294	1201	834
295	1205	830
296	1209	826
297	1212	822
298	1217	818
299	1221	814
300	1225	810
301	1229	806
302	1233	801
303	1237	797
304	1240	793
305	1244	789
306	1248	784
307	1251	780
308	1255	776
309	1259	772
310	1263	767
311	1267	763
312	1270	759
313	1274	754
314	1278	750
315	1281	746
316	1285	742
317	1289	737
318	1293	734
319	1297	729
320	1301	725
321	1305	721
322	1309	717
323	1312	713
324	1317	709
325	1320	704
326	1324	700
327	1329	696
328	1333	692
329	1337	688
330	1340	684
331	1345	680
332	1348	676
333	1353	672
334	1357	668
335	1361	664
336	1365	660
337	1369	656
338	1373	652
339	1377	648
340	1381	644
341	1385	639
342	1389	635
343	1393	631
344	1397	627
345	1401	623
346	1404	619
347	1408	615
348	1412	611
349	1417	607
350	1421	603
351	1425	599
352	1429	595
353	1433	591
354	1437	587
355	1441	583
356	1445	579
357	1450	575
358	1454	571
359	1458	567
360	1462	563
361	1466	559
362	1470	555
363	1475	551
364	1479	547
365	1483	543
366	1487	539
367	1492	535
368	1496	531
369	1500	527
370	1504	523
371	1508	519
372	1512	514
373	1516	510
374	1520	506
375	1524	502
376	1528	498
377	1532	494
378	1536	490
379	1540	486
380	1544	482
381	1547	478
382	1551	474
383	1555	470
384	1560	466
385	1564	461
386	1568	457
387	1572	453
388	1576	449
389	1580	445
390	1584	441
391	1588	437
392	1592	433
393	1596	429
394	1600	425
395	1604	421
396	1608	417
397	1612	413
398	1616	409
399	1620	405
400	1624	401
401	1628	397
402	1632	393
403	1637	388
404	1641	384
405	1645	380
406	1649	376
407	1653	372
408	1657	368
409	1661	364
410	1665	360
411	1670	356
412	1675	352
413	1679	348
414	1683	344
415	1686	340
416	1690	336
417	1694	332
418	1699	328
419	1703	324
420	1707	320
421	1711	316
422	1715	312
423	1719	308
424	1723	304
425	1727	300
426	1731	295
427	1735	291
428	1739	287
429	1743	283
430	1747	279
431	1751	275
432	1755	271
433	1759	267
434	1763	263
435	1767	259
436	1770	255
437	1775	251
438	1780	247
439	1784	243
440	1789	239
441	1793	235
442	1798	231
443	1803	227
444	1808	223
445	1812	219
446	1816	215
447	1820	211
448	1824	207
449	1828	203
450	1832	199
451	1836	195
452	1840	190
453	1844	186
454	1848	182
455	1851	178
456	1854	174
457	1857	170
458	1860	166
459	1863	162
460	1866	157
461	1869	153
462	1872	149
463	1874	145
464	1877	141
465	1879	137
466	1882	133
467	1885	128
468	1887	124
469	1890	120
470	1893	116
471	1896	112
472	1899	108
473	1901	104
474	1904	100
475	1907	96
476	1910	92
477	1913	88
478	1916	84
479	1919	79
480	1921	75
481	1924	71
482	1927	67
483	1930	63
484	1932	59
485	1935	55
486	1938	51
487	1940	47
488	1943	43
489	1946	39
490	1949	35
491	1952	31
492	1955	27
493	1957	23
494	1960	19
495	1963	15
496	1966	11
497	1968	7
498	1971	3
499	1973	0
